country,iso3,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,early,2001,2002,2003,2004,midEarly,2006,2007,2008,2009,mid,2011,2012,2013,2014,midlater,2016,2017,earlyLate,Smoking Population,2020,2021,2022,2023
East Asia & Pacific,EAS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.83589957,,,,,28.88041362,,,,,27.87000885,,,,,27.02762557,,,26.4450235,26.45340607,26.31804038,,,
Europe & Central Asia (excluding high income),ECA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.07999115,,,,,31.90733406,,,,,30.09182451,,,,,28.42401797,,,27.23519226,27.22743933,26.90661407,,,
Europe & Central Asia,ECS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01968555,,,,,32.16441754,,,,,29.71346587,,,,,27.54560933,,,26.0322309,26.0289109,25.63757131,,,
Ecuador,ECU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,,,,16.2,,,,,14.5,,,,,12.8,,,11.6,11.6,11.3,,,
"Egypt, Arab Rep.",EGY,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,24.1,,,,,24.3,,,,,24.3,,,24.4,24.4,24.3,,,
Euro area,EMU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.66734457,,,,,32.20508672,,,,,29.99600743,,,,,28.02219269,,,26.63796746,26.64582864,26.29276617,,,
Eritrea,ERI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,11.5,,,,,10,,,,,8.7,,,7.7,7.7,7.5,,,
Spain,ESP,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,34.3,,,,,31.9,,,,,29.7,,,28.1,28.1,27.7,,,
Estonia,EST,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,41.6,,,,,37.2,,,,,33.3,,,30.5,30.5,29.7,,,
Ethiopia,ETH,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,6.3,,,,,5.9,,,,,5.5,,,5.2,5.2,5.1,,,
European Union,EUU,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.62938385,,,,,32.93414019,,,,,30.50381245,,,,,28.33986961,,,26.82624232,26.82973246,26.43176032,,,
Fragile and conflict affected situations,FCS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.42443017,,,,,21.31508079,,,,,18.57833008,,,,,16.26820768,,,14.69073822,14.59913454,14.19699554,,,
Finland,FIN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,31.4,,,,,27.8,,,,,24.5,,,22.2,22.2,21.6,,,
Fiji,FJI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,29.7,,,,,27.4,,,,,25.1,,,23.4,23.4,23.1,,,
France,FRA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,,34.1,,,,,33.8,,,,,33.7,,,33.6,33.6,33.4,,,
Faroe Islands,FRO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,,,,30.1,,,,,24.1,,,,,19.3,,,16.1,16.1,15.4,,,
Georgia,GEO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,,,32.6,,,,,32.2,,,,,32,,,31.7,31.7,31.7,,,
Ghana,GHA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,5.9,,,,,4.9,,,,,4.2,,,3.6,3.6,3.5,,,
Gibraltar,GIB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,18.8,,,,,15.8,,,,,13.3,,,11.6,11.6,11.1,,,
Guinea-Bissau,GNB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,15,,,,,12.7,,,,,10.7,,,9.3,9.3,9,,,
Equatorial Guinea,GNQ,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,,,,,48.5,,,,,42.9,,,,,37.9,,,34.5,34.5,33.5,,,
Grenada,GRD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,13.4,,,,,12.5,,,,,11.6,,,11,11,10.9,,,
Guam,GUM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,24.1,,,,,19.1,,,,,15.1,,,12.6,12.6,12.1,,,
High income,HIC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.96614473,,,,,30.4988433,,,,,27.46468101,,,,,24.7422304,,,22.87042911,22.85844288,22.43821407,,,
"Hong Kong SAR, China",HKG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0265521,,,,,16.84572003,,,,,14.26993813,,,,,12.25854842,,,10.89694584,10.89838302,10.58993522,,,
Croatia,HRV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,34.9,,,,,35.4,,,,,36.1,,,36.7,36.7,36.9,,,
Haiti,HTI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,10.9,,,,,9.7,,,,,8.6,,,7.9,7.9,7.7,,,
Hungary,HUN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,35.9,,,,,34.6,,,,,33.2,,,32.2,32.2,31.8,,,
IBRD only,IBD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93657918,,,,,31.8115795,,,,,29.10159538,,,,,26.83672146,,,25.2114136,25.20550202,24.82491907,,,
IDA & IBRD total,IBT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29637407,,,,,30.90599514,,,,,27.92880181,,,,,25.41439278,,,23.62725514,23.59126215,23.16919927,,,
IDA total,IDA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.27374846,,,,,26.81178064,,,,,22.91685597,,,,,19.71584824,,,17.54677925,17.48730582,17.00778507,,,
IDA blend,IDB,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.40155646,,,,,20.96041502,,,,,18.13074183,,,,,15.53867221,,,13.6743429,13.64794869,13.23515203,,,
Indonesia,IDN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,35.8,,,,,36.3,,,,,36.7,,,37.2,37.2,37.6,,,
IDA only,IDX,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.14993352,,,,,30.13470641,,,,,25.66341597,,,,,22.06842265,,,19.69244703,19.60775528,19.08578009,,,
Isle of Man,IMN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,,,,45.5,,,,,38.1,,,,,32.2,,,28.1,28.1,27.2,,,
